,sentence,label
0,Dung dc sp tot cam on shop Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời,0
1,Chất lượng sản phẩm tuyệt vời Son mịn nhưng khi đánh lên không như màu trên ảnh,0
2,Chất lượng sản phẩm tuyệt vời nhưng k có hộp k có dây giày đen k có tất,0
3,Mình hơi thất vọng 1 chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường Harvard ra sao những nỗ lực của họ như thế nào 4h sáng tại sao họ lại phải thức dậy vào thời khắc đấy sau đó là cả một câu chuyện ra sao Cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn Còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có BUồn,1
4,Lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao 2 cái áo gió chất khác như vải mưa ý,1
5,Chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền,0
6,Đã nhận đc hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt,0
7,Các siêu phẩm thấy cấu hình toàn tựa tựa nhau Ko còn sự đột phá lớn nữa Chỉ là nâng cấp Khác nhau về kiểu dáng Htc này vs giá trên thật lòng khó cạnh tranh mạnh vs siêu phẩm khác chỉ dành cho fan của họ thôi,1
8,Hàng ship nhanh chất lượng tốt tư vấn nhiệt tình ship rất đung size sẽ ủng hộ shop nhìu,0
9,Đồng hồ đẹp nhưng 1 cái đứt dây 1 cái k chạy mua ve phải sửa,1
10,Chất lượng sản phẩm tuyệt vờiy hình chụpđáng tiền,0
11,Hjhj shop giao hàng nhanh quá Đẹp lắm ạ bé nhà m rất thích,0
12,nhìn đẹp phết nhỉ,0
13,Đóng gói rất đẹp Chất lượng sản phẩm rất tốt Chất lượng sản phẩm tuyệt vời,0
14,Săn đc với giá 11k Toẹt vời,0
15,OK rất hài lòng,0
16,Giao thiếu mình cái này rồi shop ơi TT,1
17,Chất lượng sản phẩm tuyệt vời tôi rất thích,0
18,Giày đẹp lắm có điều dây hơi ngắn tí ạ Chất lượng sản phẩm tuyệt vời,0
19,Yếm vải đẹp nhưng ít mẫu đẹp,0
20,Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Giao hàng hôm sau là có,0
21,không hài lòng sản phẩm cho lắm giặt lan đầu tiên da nhoe màu hết rồi,1
22,Giao hàng nhanh mặc đẹp Cám ơn shop,0
23,Chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn,0
24,Đồng hồ thì đẹp thật Nhưng tại sao kim lúc chạy lúc đứng Nhắn tin thì ko trả lời Mấy bạn lưu ý đừng mua nữa,1
25,Giao hàng siêu nhanh Đóng gói cẩn thận và tư vấn nhiệt tình Hạt điều thấm vị và giòn,0
26,Cũng hơi bất tiện xu thế này e rằng đa phằn người dùng sẽ không ưa thích,1
27,Toàn hàng trungkhi mua quên ko coi kĩ,1
28,Đóng gói sản phẩm rất đẹp và chắc chắn Được shop tặng thêm quà nữa,0
29,Hôm nay chiên thử cá hồi cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ đc nước Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,0
30,máy này có cái CPU k phải skylake là thấy không hay rồi,1
31,Hàng vận chuyển bị nứt mẻ 1 gócchất lượng ok,0
32,Sạc tự động ngắt pin,0
33,Shop giao hàng kh giống màu,1
34,Shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối Đặc biệt sản phẩm đã sai màu còn bị vỡ phần nắp và chốt ko sd được Chat shop ko tl đến lúc khách nhấn hoàn hàng mới tl sơ sài và ko đồng ý hoàn Rất thất vọng về cách làm việc của Shop May mà Shopee lấy lại công bằng và hoàn tiền,1
35,khong thay den sang,1
36,So với giá thì chất lượng tuyệt vời capo khá chắc chắn và đẹp,0
37,Không cầm pin Không sử dụng được Chất lượng sản phẩm rất kém,1
38,Những nước phát triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường cao tốc cả xe điện ngầm ra ngoại ô cũng thành nổi để tiết kiệm chi phí,1
39,Shop phục vụ rất tốt Thời gian giao hàng rất nhanh,0
40,Sản phẩm tốt hỗ trợ khách hàng nhiệt tình,0
41,Giày đẹp mang êm và vừa chân lắm nha shop,0
42,Chất liệu và kiểu dáng thì được nhưng quần hơi ngắn,0
43,hàng bị lỗi nhiều quá màn hình cháy phim bị bong,1
44,Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh ngon sẽ ủng hộ shop dài dài,0
45,Chưa dùng nhưng nghe bạn m dùng r fb chất lượng khá tốt serum thơm mùu bưởi Có 1 góp ý là shop nên thay lọ đựng sang loại khác vì bọn m mua nhiều lần thấy hầu hết các lọ vòi xịt đều k ổn,0
46,Uống rất ngon Giao hàng nhanh Chất lượng sản phẩm tuyệt vời,0
47,Shop bảo làm theo yêu cầu theo yêu cầu là phải có cao su chống trượt mà không theo yêu cầu thôi nhịn đắng cục tức vậy Các bạn mua nên chú ý sẵn không lại ngậm cục tức như mình di bị rơi mấy lần lại lôi kê tay cũ ra xài,1
48,Rẻ lầm chất lượng lém,0
49,Huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao,1
50,Đóng gói sản phẩm rất kémTư vấn k nhiệt tình,1
51,Sản phẩm tốt ưng ý,0
